column,dtype,unit,description,files
pre_bird_equal,float64,field-specific,Frozen analysis field: pre bird equal.,wandering_albatross_landing_timing_summary.csv
pre_events,int64,field-specific,Frozen analysis field: pre events.,wandering_albatross_landing_scale_summary.csv
pre_side_pass,bool,field-specific,Frozen analysis field: pre side pass.,wandering_albatross_landing_scale_summary.csv
predictor,str,field-specific,Frozen analysis field: predictor.,shearwater_continuous_context_contrast.csv
primary_pass,bool,field-specific,Frozen analysis field: primary pass.,red_footed_booby_behavior_group_effects.csv; red_footed_booby_behavior_modifiers.csv; red_footed_booby_dive_timing_contrasts.csv
prior_forage,float64,field-specific,Frozen analysis field: prior forage.,shearwater_event_metrics.csv.gz
prior_rest,float64,field-specific,Frozen analysis field: prior rest.,shearwater_event_metrics.csv.gz
prior_specificity,float64,field-specific,Frozen analysis field: prior specificity.,shearwater_event_metrics.csv.gz
raw_diff_ci_high,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,wandering_albatross_landing_scale_summary.csv
raw_diff_ci_low,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,wandering_albatross_landing_scale_summary.csv
resid_diff,float64,field-specific,Frozen analysis field: resid diff.,wandering_albatross_landing_scale_summary.csv
resid_diff_ci_high,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,wandering_albatross_landing_scale_summary.csv
resid_diff_ci_low,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,wandering_albatross_landing_scale_summary.csv
resid_post,float64,field-specific,Frozen analysis field: resid post.,wandering_albatross_landing_scale_summary.csv
resid_post_ci_high,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,wandering_albatross_landing_scale_summary.csv
resid_post_ci_low,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,wandering_albatross_landing_scale_summary.csv
resid_pre,float64,field-specific,Frozen analysis field: resid pre.,wandering_albatross_landing_scale_summary.csv
resid_pre_ci_high,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,wandering_albatross_landing_scale_summary.csv
resid_pre_ci_low,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,wandering_albatross_landing_scale_summary.csv
right,str,field-specific,Frozen analysis field: right.,red_footed_booby_behavior_modifiers.csv; red_footed_booby_dive_timing_contrasts.csv
right_events,int64,field-specific,Frozen analysis field: right events.,red_footed_booby_dive_timing_contrasts.csv
run_key,str,field-specific,Frozen analysis field: run key.,shearwater_event_metrics.csv.gz
scale_m,int64,m,Radial-drawdown scale in metres.,red_footed_booby_behavior_group_effects.csv; red_footed_booby_behavior_modifiers.csv; red_footed_booby_dive_timing_contrasts.csv; shearwater_behavior_group_effects.csv; shearwater_continuous_context_contrast.csv; shearwater_event_metrics.csv.gz
tail,str,field-specific,Frozen analysis field: tail.,red_footed_booby_behavior_group_effects.csv; red_footed_booby_behavior_modifiers.csv; red_footed_booby_dive_timing_contrasts.csv
