column,dtype,unit,description,files
events,int64,see description,Number of qualified event-scale rows contributing to the estimate.,joint_model_summary.csv; laysan_phase_null_audit.csv.gz; laysan_phase_summary.csv; mean_logchl_joint_model_summary.csv
events_mean,int64,field-specific,Frozen analysis field: events mean.,mean_vs_median_joint_model_comparison.csv
events_median,int64,field-specific,Frozen analysis field: events median.,mean_vs_median_joint_model_comparison.csv
family,str,see description,Analysis family: decomposition (A) or rho-tau localisation (B).,laysan_last_passage_event_metrics.csv.gz; laysan_phase_null_audit.csv.gz; laysan_phase_summary.csv
geometry_endpoint_is_last_record,bool,field-specific,Frozen analysis field: geometry endpoint is last record.,laysan_reconstruction_audit.csv.gz
holm_phase_p,float64,see description,Holm-adjusted one-sided phase-randomisation P value.,laysan_phase_summary.csv
length_tertile,int64,"km, m or log length as named",Movement-distance or length quantity denoted by length tertile; consult the table README for transformation.,conditional_L_3x3_grid.csv; mean_logchl_conditional_L_3x3_grid.csv
master_tokens,int64,field-specific,Frozen analysis field: master tokens.,laysan_phase_null_audit.csv.gz
n_record_runs,int64,count,Count of n record runs.,laysan_last_passage_event_metrics.csv.gz; laysan_reconstruction_audit.csv.gz
n_runs,int64,count,Count of n runs.,laysan_last_passage_event_metrics.csv.gz; laysan_reconstruction_audit.csv.gz
observed_unit_equal,float64,see description,Observed estimate after equal weighting of biological units.,laysan_phase_summary.csv
phase_L_union_pass,bool,probability,Randomisation or adjusted probability value for the named comparison.,joint_model_summary.csv; mean_vs_median_joint_model_comparison.csv
phase_null_mean,float64,see description,Mean estimate across structure-preserving circular-phase null replicates.,laysan_phase_summary.csv
phase_p_one_sided,float64,probability,Randomisation or adjusted probability value for the named comparison.,laysan_phase_summary.csv
phase_reps,int64,probability,Randomisation or adjusted probability value for the named comparison.,laysan_phase_summary.csv
positive_grids,int64,field-specific,Frozen analysis field: positive grids.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
positive_grids_mean,int64,field-specific,Frozen analysis field: positive grids mean.,mean_vs_median_joint_model_comparison.csv
positive_grids_median,int64,field-specific,Frozen analysis field: positive grids median.,mean_vs_median_joint_model_comparison.csv
positive_support,bool,AIC units or correlation,Model-support quantity denoted by positive support; positive relative support favours Lomax over exponential.,laysan_phase_summary.csv
rho_tau_distinct_cell,float64,field-specific,Quantity evaluated at or involving the retrospectively identified last radial record (`rho_tau_distinct_cell`).,laysan_last_passage_event_metrics.csv.gz
rho_tau_distinct_cell_fraction,float64,field-specific,Quantity evaluated at or involving the retrospectively identified last radial record (`rho_tau_distinct_cell_fraction`).,laysan_phase_summary.csv
run_key,str,field-specific,Frozen analysis field: run key.,laysan_reconstruction_audit.csv.gz
scale_m,int64,m,Radial-drawdown scale in metres.,conditional_L_3x3_grid.csv; joint_model_summary.csv; laysan_last_passage_event_metrics.csv.gz; laysan_phase_null_audit.csv.gz; laysan_phase_summary.csv; laysan_reconstruction_audit.csv.gz; mean_logchl_conditional_L_3x3_grid.csv; mean_logchl_joint_model_summary.csv; mean_vs_median_joint_model_comparison.csv
segment_key,str,field-specific,Frozen analysis field: segment key.,laysan_last_passage_event_metrics.csv.gz; laysan_phase_null_audit.csv.gz
segments,int64,count,Count of segments.,laysan_phase_summary.csv
standardized_L_union,float64,field-specific,Frozen analysis field: standardized L union.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
standardized_L_union_ci_high,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
standardized_L_union_ci_high_mean,float64,field-specific,Frozen analysis field: standardized L union ci high mean.,mean_vs_median_joint_model_comparison.csv
standardized_L_union_ci_high_median,float64,field-specific,Frozen analysis field: standardized L union ci high median.,mean_vs_median_joint_model_comparison.csv
standardized_L_union_ci_low,float64,estimate units,Lower or upper endpoint of the reported 95% confidence interval for the named estimate.,joint_model_summary.csv; mean_logchl_joint_model_summary.csv
standardized_L_union_ci_low_mean,float64,field-specific,Frozen analysis field: standardized L union ci low mean.,mean_vs_median_joint_model_comparison.csv
standardized_L_union_ci_low_median,float64,field-specific,Frozen analysis field: standardized L union ci low median.,mean_vs_median_joint_model_comparison.csv
standardized_L_union_mean,float64,field-specific,Frozen analysis field: standardized L union mean.,mean_vs_median_joint_model_comparison.csv
standardized_L_union_median,float64,field-specific,Frozen analysis field: standardized L union median.,mean_vs_median_joint_model_comparison.csv
status,str,field-specific,Frozen analysis field: status.,laysan_reconstruction_audit.csv.gz
units,int64,see description,Number of biological sampling units contributing to the estimate.,laysan_phase_summary.csv
valid_unique_offsets,int64,field-specific,Frozen analysis field: valid unique offsets.,laysan_phase_null_audit.csv.gz
